,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.12,-134.97,70.12,80,3,22.57,PF,1601448295
1,Pevek,69.7,170.31,38.37,78,97,16.26,RU,1601448296
2,Bengkulu,-3.8,102.27,87.87,59,0,13.96,ID,1601448296
3,Bayir,37.27,28.22,68.0,68,0,3.36,TR,1601448152
4,Butaritari,3.07,172.79,82.35,76,0,10.42,KI,1601448113
5,Cape Town,-33.93,18.42,59.0,71,75,3.36,ZA,1601448194
6,Vaitape,-16.52,-151.75,79.83,77,6,22.95,PF,1601448297
7,Juba,4.85,31.58,79.88,72,86,3.02,SS,1601448030
8,Upernavik,72.79,-56.15,23.72,91,89,10.07,GL,1601448298
9,Hithadhoo,-0.6,73.08,83.53,67,100,6.24,MV,1601448298
10,Codrington,-38.27,141.97,55.17,87,100,12.71,AU,1601448299
11,Albany,42.6,-73.97,57.0,100,90,11.41,US,1601448273
12,Vostok,46.49,135.88,50.72,68,100,3.76,RU,1601448299
13,Yellowknife,62.46,-114.35,37.4,100,20,6.93,CA,1601448244
14,Lompoc,34.64,-120.46,57.2,93,90,7.99,US,1601448051
15,Mahébourg,-20.41,57.7,75.2,78,75,12.75,MU,1601448300
16,Jala,21.08,-104.43,66.0,90,75,3.36,MX,1601448300
17,Busselton,-33.65,115.33,64.0,81,100,5.99,AU,1601448184
18,Kabalo,-6.05,26.92,79.68,69,100,4.47,CD,1601448301
19,Qaryat Sulūq,31.67,20.25,77.27,46,0,8.59,LY,1601448302
20,Kununurra,-15.77,128.73,66.2,77,90,49.44,AU,1601448302
21,Bonthe,7.53,-12.51,76.48,90,44,3.06,SL,1601448303
22,Wexford,52.33,-6.46,57.0,93,100,14.12,IE,1601448303
23,Poum,-20.23,164.02,71.08,71,90,16.17,NC,1601448303
24,Katsuura,35.13,140.3,80.01,37,0,13.38,JP,1601448304
25,Pangnirtung,66.15,-65.71,25.47,86,3,7.02,CA,1601448304
26,Hobart,-42.88,147.33,62.01,55,75,13.87,AU,1601448012
27,Bredasdorp,-34.53,20.04,51.8,87,38,2.24,ZA,1601448099
28,Castro,-24.79,-50.01,61.16,91,11,3.44,BR,1601448305
29,Atuona,-9.8,-139.03,78.69,75,3,22.66,PF,1601448305
30,Tāybād,34.74,60.78,62.11,26,0,10.65,IR,1601448306
31,Iqaluit,63.75,-68.51,28.4,68,90,10.29,CA,1601448306
32,Calabozo,8.92,-67.43,73.09,95,6,3.89,VE,1601448306
33,Andros Town,24.7,-77.77,80.6,83,40,2.24,BS,1601448307
34,Dvinskoy,62.15,45.12,53.94,75,70,6.8,RU,1601448307
35,Puerto Ayora,-0.74,-90.35,66.99,91,93,8.01,EC,1601448308
36,Kindu,-2.95,25.95,77.88,77,44,2.42,CD,1601448308
37,Oistins,13.07,-59.53,82.4,83,20,25.28,BB,1601448308
38,Narsaq,60.92,-46.05,28.4,46,51,8.05,GL,1601448308
